Greece,Egypt,Portugal,Finland,Venezuela
2110206007.0,5259281033.0,2478481445.0,3133422316.0,10200506826.0
1931570736.0,6002196132.0,2645976274.0,3760847433.0,12610041006.0
2487064064.0,5253082399.0,1084847582.0,1661981706.0,9315456954.0
1106453110.0,6832542194.0,1057882127.0,2179532042.0,10644795910.0
1130969963.0,6228228507.0,1315990308.0,3158720581.0,12383426246.0
804136728.0,5498319529.0,1097095847.0,2566206117.0,17516968263.0
739038829.0,5175215624.0,844350936.0,2349052218.0,13200529914.0
773336519.0,6483088214.0,1120670649.0,2150208015.0,11178341652.0
725598644.0,4758797408.0,942300758.0,1559846104.0,8343600405.0
746607210.0,3484753990.0,967411109.0,1573470891.0,5210558030.0
960728649.0,3991832766.0,1192459324.0,1534930626.0,4133114819.0
