Mexico,China,Canada,Hong Kong,South Korea
135918000000.0,62936891576.0,248888000000.0,19901654480.0,34401709969.0
151220000000.0,69732837543.0,261150000000.0,21498619389.0,34668671020.0
128892000000.0,69496678611.0,204658000000.0,21050525179.0,28611928167.0
163665000000.0,91911080944.0,249256000000.0,26570450803.0,38820637297.0
198289000000.0,104122000000.0,281292000000.0,36398784628.0,43461636035.0
215875000000.0,110517000000.0,292651000000.0,37471809096.0,42282565212.0
225954000000.0,121746000000.0,300755000000.0,42332232943.0,41648727506.0
241007000000.0,123657000000.0,312817000000.0,40913401409.0,44649563379.0
236460000000.0,115873000000.0,280855000000.0,37182746594.0,43483975006.0
230051000000.0,115546000000.0,266734000000.0,34895198640.0,42312661833.0
243314000000.0,129894000000.0,282265000000.0,39939130227.0,48326408702.0
