,Partner,mean import
0,China,400018090147.4
1,Mexico,254040609258.5
2,Canada,305589823949.1
3,Japan,131299667204.1
4,Germany,103103812393.9
5,United Kingdom,53875722482.1
6,Italy,36764374070.6
7,France,42722711533.4
8,Ireland,34684531761.3
9,India,35512207080.9
10,Malaysia,29269935819.7
11,Switzerland,24514056747.0
12,Thailand,25047766186.6
13,Brazil,27507440614.0
14,Israel,22053986200.5
15,Indonesia,17368950323.0
16,Singapore,17720751847.5
17,Saudi Arabia,38483756117.0
18,Netherlands,19347732305.9
19,Russian Federation,23563363129.4
20,Spain,11446974695.1
21,Belgium,17323966661.0
22,Colombia,16506429031.2
23,Austria,9406200559.8
24,Philippines,9135667112.3
25,Iraq,12857666150.9
26,Sweden,10506032491.6
27,Chile,8604198861.7
28,Australia,9597238780.0
29,Turkey,5863207778.2
30,South Africa,8213994560.3
31,Denmark,6730086147.8
32,Peru,5908893341.3
33,Poland,4048068720.8
34,Nigeria,19500213828.4
35,Ecuador,8290023640.4
36,Finland,4735540136.8
37,Bangladesh,4749605268.8
38,Hungary,3695090951.2
39,Norway,6218880045.7
40,Argentina,4434859334.8
41,Dominican Republic,4189979367.0
42,Czech Republic,3387675720.6
43,Honduras,4292061681.9
44,Costa Rica,7460016862.9
45,United Arab Emirates,2091532033.4
46,New Zealand,3401114855.5
47,Guatemala,3881223010.8
48,Algeria,10306846159.8
49,Pakistan,3580851000.8
50,Portugal,2694542529.6
51,Trinidad and Tobago,6564811679.2
52,Nicaragua,2467198707.0
53,Cambodia,2596327438.1
54,Kuwait,7326581177.9
55,Sri Lanka,2251359074.8
56,Angola,9624348844.6
57,El Salvador,2323385702.7
58,Romania,1493867838.2
59,Jordan,1222557385.4
60,Lithuania,954707149.8
61,Greece,1027026503.9
62,Morocco,857381404.1
63,Qatar,970278965.2
64,Oman,1116947109.0
65,Ukraine,1134070754.8
66,Bahrain,653825187.8
67,Haiti,716212134.0
68,Kazakhstan,1389428880.4
69,Botswana,246394896.0
70,Slovenia,562594065.0
71,Ghana,316825695.9
72,Madagascar,238164629.4
73,Bulgaria,455298327.5
74,Estonia,550897323.2
75,Uruguay,387851469.5
76,Kenya,420102700.7
77,Bolivia,981054117.5
78,Chad,2233180080.8
79,Luxembourg,554061586.8
80,Tunisia,513445849.8
81,Latvia,269504712.8
82,Panama,405608843.2
83,Croatia,404692268.0
84,Iceland,260548529.6
85,Equatorial Guinea,1424695704.2
86,Jamaica,462686608.7
87,Guyana,351975913.9
88,Lesotho,347056183.6
89,Serbia,202201835.7
90,Ethiopia,175615837.2
91,Mauritius,271240851.0
92,Belize,118576575.5
93,Belarus,389596524.0
94,Fiji,172201183.4
95,Azerbaijan,1652610821.7
96,Gabon,1671018077.0
97,Malta,350815507.3
98,Mozambique,57746264.6
99,Georgia,194877673.5
100,Lebanon,88981838.2
101,Paraguay,135713395.5
102,Papua New Guinea,108451828.2
103,Namibia,240770139.9
104,Cameroon,293299448.7
105,Nepal,79162758.8
106,Liberia,111024863.5
107,Bosnia and Herzegovina,49720072.8
108,Uganda,45716903.2
109,Senegal,24106778.3
110,Armenia,71271516.3
111,Suriname,214512492.8
112,Zambia,43570221.5
113,Malawi,66560569.5
114,Mauritania,41995577.0
115,Barbados,47944250.6
116,Cyprus,33793335.6
117,Zimbabwe,53858538.0
118,Sierra Leone,33381475.5
119,Rwanda,26746014.2
120,Albania,48851180.4
121,Marshall Islands,19017535.8
122,Maldives,11621799.1
123,Swaziland,84480658.5
124,Benin,6198255.4
125,Togo,15629710.7
126,Afghanistan,60061314.2
127,Uzbekistan,77327755.3
128,Turkmenistan,75917127.3
129,Andorra,1752378.8
130,Sudan,9335710.6
131,Seychelles,6074665.8
132,Grenada,8507428.9
133,Antigua and Barbuda,8589568.3
134,Mongolia,27867278.6
135,Burundi,4950547.6
136,Niger,57442993.8
137,Guinea,79940826.0
138,Vanuatu,3058863.3
139,Comoros,1678436.1
140,Burkina Faso,3341993.3
141,Samoa,4282221.3
142,San Marino,4325965.0
143,Kiribati,1551207.1
144,Tonga,2925658.7
145,Solomon Islands,3021505.9
146,Mali,4970814.8
147,Kosovo,660640.8
148,Montenegro,4295364.5
149,Central African Republic,3894526.2
150,Nauru,525722.7
151,Dominica,2062136.0
152,Bhutan,1110967.6
153,Tajikistan,9388885.3
154,Sao Tome and Principe,510914.8
155,Palau,493442.7
156,Tuvalu,67109.1
