state,mean,code
Texas,228.96,TX
California,153.45,CA
New York,78.23,NY
Washington,69.04,WA
Illinois,58.5,IL
Florida,55.75,FL
Michigan,50.1,MI
Louisiana,48.91,LA
Ohio,46.34,OH
Pennsylvania,36.46,PA
New Jersey,33.78,NJ
Georgia,32.57,GA
Indiana,30.91,IN
Tennessee,28.25,TN
North Carolina,27.22,NC
Massachusetts,26.25,MA
South Carolina,24.16,SC
Kentucky,22.8,KY
Wisconsin,21.11,WI
Minnesota,19.46,MN
Arizona,19.04,AZ
Oregon,18.65,OR
Virginia,17.58,VA
Alabama,17.42,AL
Connecticut,15.33,CT
Utah,13.42,UT
Missouri,13.16,MO
Iowa,12.4,IA
Kansas,11.02,KS
Maryland,10.6,MD
Mississippi,9.5,MS
Nevada,7.65,NV
Colorado,7.56,CO
West Virginia,6.86,WV
Nebraska,6.37,NE
Arkansas,6.0,AR
Oklahoma,5.58,OK
Idaho,5.09,ID
Delaware,4.93,DE
Alaska,4.34,AK
New Hampshire,3.78,NH
Vermont,3.72,VT
North Dakota,3.65,ND
Maine,2.88,ME
New Mexico,2.72,NM
Rhode Island,2.07,RI
South Dakota,1.43,SD
Montana,1.4,MT
Wyoming,1.18,WY
Hawaii,0.91,HI
